base_set	reference_set	base_size	reference_size	overlapping_genes	percentage	species
H_to_M_connectOR	H_to_M_connectOR_005_1to1	10804	3712	3589	.33219178082191780821	Mouse
H_to_M_connectOR	H_to_M_connectOR_005	10804	10851	10578	.97908182154757497223	Mouse
H_to_M_connectOR	H_to_M_connectOR_1to1	10804	3531	3531	.32682339874120696038	Mouse
H_to_M_connectOR	H_to_M_connectOR	10804	10804	10804	1.00000000000000000000	Mouse
H_to_M_connectOR	H_to_M_Liftoff	10804	1603	1582	.14642724916697519437	Mouse
H_to_M_connectOR	M_to_H_connectOR_005_1to1	10804	3712	3589	.33219178082191780821	Mouse
H_to_M_connectOR	M_to_H_connectOR_005	10804	9181	6115	.56599407626804887078	Mouse
H_to_M_connectOR	M_to_H_connectOR_1to1	10804	3531	3531	.32682339874120696038	Mouse
H_to_M_connectOR	M_to_H_connectOR	10804	9142	6073	.56210662717512032580	Mouse
H_to_M_connectOR	M_to_H_Liftoff	10804	1722	1689	.15633098852276934468	Mouse
H_to_M_Liftoff	H-M_Liftoff_1to1	1603	1053	1053	.65689332501559575795	Mouse
H_to_M_Liftoff	H_to_M_connectOR_005_1to1	1603	3712	932	.58140985651902682470	Mouse
H_to_M_Liftoff	H_to_M_connectOR_005	1603	10851	1582	.98689956331877729257	Mouse
H_to_M_Liftoff	H_to_M_connectOR_1to1	1603	3531	929	.57953836556456643792	Mouse
H_to_M_Liftoff	H_to_M_connectOR	1603	10804	1582	.98689956331877729257	Mouse
H_to_M_Liftoff	H_to_M_Liftoff	1603	1603	1603	1.00000000000000000000	Mouse
H_to_M_Liftoff	M_to_H_connectOR_005_1to1	1603	3712	932	.58140985651902682470	Mouse
H_to_M_Liftoff	M_to_H_connectOR_005	1603	9181	1590	.99189020586400499064	Mouse
H_to_M_Liftoff	M_to_H_connectOR_1to1	1603	3531	929	.57953836556456643792	Mouse
H_to_M_Liftoff	M_to_H_connectOR	1603	9142	1589	.99126637554585152838	Mouse
H_to_M_Liftoff	M_to_H_Liftoff	1603	1722	1256	.78353087960074859638	Mouse
M_to_H_connectOR_005_1to1	H-M_Liftoff_1to1	3712	1053	756	.20366379310344827586	Mouse
M_to_H_connectOR_005_1to1	H_to_M_connectOR_005_1to1	3712	3712	3712	1.00000000000000000000	Mouse
M_to_H_connectOR_005_1to1	H_to_M_connectOR_005	3712	10851	3712	1.00000000000000000000	Mouse
M_to_H_connectOR_005_1to1	H_to_M_connectOR_1to1	3712	3531	3488	.93965517241379310344	Mouse
M_to_H_connectOR_005_1to1	H_to_M_connectOR	3712	10804	3589	.96686422413793103448	Mouse
M_to_H_connectOR_005_1to1	H_to_M_Liftoff	3712	1603	932	.25107758620689655172	Mouse
M_to_H_connectOR_005_1to1	M_to_H_connectOR_005_1to1	3712	3712	3712	1.00000000000000000000	Mouse
M_to_H_connectOR_005_1to1	M_to_H_connectOR_005	3712	9181	3712	1.00000000000000000000	Mouse
M_to_H_connectOR_005_1to1	M_to_H_connectOR_1to1	3712	3531	3488	.93965517241379310344	Mouse
M_to_H_connectOR_005_1to1	M_to_H_connectOR	3712	9142	3615	.97386853448275862068	Mouse
M_to_H_connectOR_005_1to1	M_to_H_Liftoff	3712	1722	1001	.26966594827586206896	Mouse
M_to_H_connectOR_005	H-M_Liftoff_1to1	9181	1053	1053	.11469338851976908833	Mouse
M_to_H_connectOR_005	H_to_M_connectOR_005_1to1	9181	3712	3712	.40431325563664088879	Mouse
M_to_H_connectOR_005	H_to_M_connectOR_005	9181	10851	6250	.68075373053044330682	Mouse
M_to_H_connectOR_005	H_to_M_connectOR_1to1	9181	3531	3522	.38361834222851541226	Mouse
M_to_H_connectOR_005	H_to_M_connectOR	9181	10804	6115	.66604944995098573140	Mouse
M_to_H_connectOR_005	H_to_M_Liftoff	9181	1603	1590	.17318374904694477725	Mouse
M_to_H_connectOR_005	M_to_H_connectOR_005_1to1	9181	3712	3712	.40431325563664088879	Mouse
M_to_H_connectOR_005	M_to_H_connectOR_005	9181	9181	9181	1.00000000000000000000	Mouse
M_to_H_connectOR_005	M_to_H_connectOR_1to1	9181	3531	3522	.38361834222851541226	Mouse
M_to_H_connectOR_005	M_to_H_connectOR	9181	9142	8922	.97178956540681842936	Mouse
M_to_H_connectOR_005	M_to_H_Liftoff	9181	1722	1699	.18505609410739570852	Mouse
M_to_H_connectOR_1to1	H-M_Liftoff_1to1	3531	1053	753	.21325403568394222599	Mouse
M_to_H_connectOR_1to1	H_to_M_connectOR_005_1to1	3531	3712	3488	.98782214670065137354	Mouse
M_to_H_connectOR_1to1	H_to_M_connectOR_005	3531	10851	3522	.99745114698385726423	Mouse
M_to_H_connectOR_1to1	H_to_M_connectOR_1to1	3531	3531	3531	1.00000000000000000000	Mouse
M_to_H_connectOR_1to1	H_to_M_connectOR	3531	10804	3531	1.00000000000000000000	Mouse
M_to_H_connectOR_1to1	H_to_M_Liftoff	3531	1603	929	.26309827244406683659	Mouse
M_to_H_connectOR_1to1	M_to_H_connectOR_005_1to1	3531	3712	3488	.98782214670065137354	Mouse
M_to_H_connectOR_1to1	M_to_H_connectOR_005	3531	9181	3522	.99745114698385726423	Mouse
M_to_H_connectOR_1to1	M_to_H_connectOR_1to1	3531	3531	3531	1.00000000000000000000	Mouse
M_to_H_connectOR_1to1	M_to_H_connectOR	3531	9142	3531	1.00000000000000000000	Mouse
M_to_H_connectOR_1to1	M_to_H_Liftoff	3531	1722	997	.28235627301047861795	Mouse
M_to_H_connectOR	H-M_Liftoff_1to1	9142	1053	1053	.11518267337562896521	Mouse
M_to_H_connectOR	H_to_M_connectOR_005_1to1	9142	3712	3615	.39542769634653248742	Mouse
M_to_H_connectOR	H_to_M_connectOR_005	9142	10851	6136	.67118792386786261211	Mouse
M_to_H_connectOR	H_to_M_connectOR_1to1	9142	3531	3531	.38623933493765040472	Mouse
M_to_H_connectOR	H_to_M_connectOR	9142	10804	6073	.66429665281120105009	Mouse
M_to_H_connectOR	H_to_M_Liftoff	9142	1603	1589	.17381316998468606431	Mouse
M_to_H_connectOR	M_to_H_connectOR_005_1to1	9142	3712	3615	.39542769634653248742	Mouse
M_to_H_connectOR	M_to_H_connectOR_005	9142	9181	8922	.97593524392911835484	Mouse
M_to_H_connectOR	M_to_H_connectOR_1to1	9142	3531	3531	.38623933493765040472	Mouse
M_to_H_connectOR	M_to_H_connectOR	9142	9142	9142	1.00000000000000000000	Mouse
