spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Hv3	107	7416	74.2417	novel_pacBioOnly_ICs	supported
Hv3	107	48094	54.3515	novel_ONTonly_ICs	supported
Hv3	107	23846	84.6323	novel_pacBio+ONT_ICs	supported
Hv3	107	28701	60.1875	intergenic_ICs	supported
Hv3	107	1256	56.6276	intergenic_pacBioOnly_ICs	supported
Hv3	107	20056	55.7034	intergenic_ONTonly_ICs	supported
Hv3	107	7389	78.0831	intergenic_pacBio+ONT_ICs	supported
Hv3	108	333792	71.2321	all_ICs	supported
Hv3	108	33726	82.1083	all_pacBioOnly_ICs	supported
Hv3	108	191191	62.0371	all_ONTonly_ICs	supported
Hv3	108	108875	91.2348	all_pacBio+ONT_ICs	supported
Hv3	108	79271	62.5896	novel_ICs	supported
Hv3	108	7413	74.2116	novel_pacBioOnly_ICs	supported
Hv3	108	48026	54.2746	novel_ONTonly_ICs	supported
Hv3	108	23832	84.5826	novel_pacBio+ONT_ICs	supported
Hv3	108	28658	60.0973	intergenic_ICs	supported
Hv3	108	1255	56.5825	intergenic_pacBioOnly_ICs	supported
Hv3	108	20025	55.6173	intergenic_ONTonly_ICs	supported
Hv3	108	7378	77.9668	intergenic_pacBio+ONT_ICs	supported
Hv3	109	333567	71.184	all_ICs	supported
Hv3	109	33714	82.0791	all_pacBioOnly_ICs	supported
Hv3	109	191001	61.9755	all_ONTonly_ICs	supported
Hv3	109	108852	91.2155	all_pacBio+ONT_ICs	supported
Hv3	109	79188	62.5241	novel_ICs	supported
Hv3	109	7408	74.1616	novel_pacBioOnly_ICs	supported
Hv3	109	47959	54.1989	novel_ONTonly_ICs	supported
Hv3	109	23821	84.5436	novel_pacBio+ONT_ICs	supported
Hv3	109	28613	60.0029	intergenic_ICs	supported
Hv3	109	1253	56.4923	intergenic_pacBioOnly_ICs	supported
Hv3	109	19988	55.5145	intergenic_ONTonly_ICs	supported
Hv3	109	7372	77.9034	intergenic_pacBio+ONT_ICs	supported
Hv3	10	371317	79.24	all_ICs	supported
Hv3	10	36287	88.3433	all_pacBioOnly_ICs	supported
Hv3	10	222665	72.2497	all_ONTonly_ICs	supported
Hv3	10	112365	94.1593	all_pacBio+ONT_ICs	supported
Hv3	10	92341	72.9092	novel_ICs	supported
Hv3	10	8249	82.5808	novel_pacBioOnly_ICs	supported
Hv3	10	58795	66.4448	novel_ONTonly_ICs	supported
Hv3	10	25297	89.7821	novel_pacBio+ONT_ICs	supported
Hv3	10	35027	73.4534	intergenic_ICs	supported
Hv3	10	1605	72.3625	intergenic_pacBioOnly_ICs	supported
Hv3	10	25326	70.3402	intergenic_ONTonly_ICs	supported
Hv3	10	8096	85.5543	intergenic_pacBio+ONT_ICs	supported
Hv3	110	333345	71.1367	all_ICs	supported
Hv3	110	33698	82.0402	all_pacBioOnly_ICs	supported
Hv3	110	190822	61.9174	all_ONTonly_ICs	supported
Hv3	110	108825	91.1929	all_pacBio+ONT_ICs	supported
Hv3	110	79086	62.4435	novel_ICs	supported
Hv3	110	7401	74.0915	novel_pacBioOnly_ICs	supported
Hv3	110	47878	54.1074	novel_ONTonly_ICs	supported
Hv3	110	23807	84.4939	novel_pacBio+ONT_ICs	supported
Hv3	110	28567	59.9065	intergenic_ICs	supported
Hv3	110	1252	56.4472	intergenic_pacBioOnly_ICs	supported
Hv3	110	19949	55.4062	intergenic_ONTonly_ICs	supported
Hv3	110	7366	77.84	intergenic_pacBio+ONT_ICs	supported
Hv3	111	333118	71.0882	all_ICs	supported
Hv3	111	33680	81.9963	all_pacBioOnly_ICs	supported
Hv3	111	190648	61.8609	all_ONTonly_ICs	supported
Hv3	111	108790	91.1635	all_pacBio+ONT_ICs	supported
Hv3	111	78993	62.3701	novel_ICs	supported
Hv3	111	7395	74.0314	novel_pacBioOnly_ICs	supported
Hv3	111	47815	54.0362	novel_ONTonly_ICs	supported
Hv3	111	23783	84.4087	novel_pacBio+ONT_ICs	supported
Hv3	111	28526	59.8205	intergenic_ICs	supported
Hv3	111	1249	56.312	intergenic_pacBioOnly_ICs	supported
Hv3	111	19925	55.3395	intergenic_ONTonly_ICs	supported
Hv3	111	7352	77.6921	intergenic_pacBio+ONT_ICs	supported
Hv3	112	332895	71.0406	all_ICs	supported
Hv3	112	33669	81.9696	all_pacBioOnly_ICs	supported
Hv3	112	190460	61.7999	all_ONTonly_ICs	supported
Hv3	112	108766	91.1434	all_pacBio+ONT_ICs	supported
Hv3	112	78911	62.3054	novel_ICs	supported
Hv3	112	7394	74.0214	novel_pacBioOnly_ICs	supported
Hv3	112	47747	53.9593	novel_ONTonly_ICs	supported
Hv3	112	23770	84.3626	novel_pacBio+ONT_ICs	supported
Hv3	112	28488	59.7408	intergenic_ICs	supported
Hv3	112	1248	56.2669	intergenic_pacBioOnly_ICs	supported
Hv3	112	19894	55.2534	intergenic_ONTonly_ICs	supported
